item,airport_code,airport_name,city,state,date,incident_type,location
Firearms,SAT,San Antonio International Airport,San Antonio,TX,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
BB/Paint/Flare/Spear/Pellet Guns,SFO,San Francisco International Airport,San Francisco,CA,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,SFO,San Francisco International Airport,San Francisco,CA,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,SJC,San Jose International Airport,San Jose,CA,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,SAV,Savannah/Hilton Head International Airport,Savannah,GA,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,TPA,Tampa International Airport,Tampa,FL,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,TUL,Tulsa International Airport,Tulsa,OK,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,TYR,Tyler Pounds Regional Airport,Tyler,TX,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ICT,Wichita Mid-Continent Airport,Wichita,KS,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,AMA,Amarillo International Airport,Amarillo,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ANC,Anchorage International Airport,Anchorage,AK,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,ATL,Atlanta International Airport,Atlanta,GA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,ATL,Atlanta International Airport,Atlanta,GA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ATL,Atlanta International Airport,Atlanta,GA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,BOS,Boston Logan International Airport,Boston,MA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",BOS,Boston Logan International Airport,Boston,MA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,CLT,Charlotte/Douglas International Airport,Charlotte,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,CLT,Charlotte/Douglas International Airport,Charlotte,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,MDW,Chicago Midway Airport,Chicago,IL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,ORD,Chicago O'hare International Airport,Chicago,IL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,CVG,Cincinnati / Northern Kentucky International Airport,Cincinnati,OH,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,CVG,Cincinnati / Northern Kentucky International Airport,Cincinnati,OH,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",CLE,Cleveland Hopkins International Airport,Cleveland,OH,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,CLE,Cleveland Hopkins International Airport,Cleveland,OH,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,COD,Yellowstone Regional Airport,Cody,WY,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,CMH,Port Columbus International Airport,Columbus,OH,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,DAB,Daytona Beach International Airport,Daytona Beach,FL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
BB/Paint/Flare/Spear/Pellet Guns,DEN,Denver International Airport,Denver,CO,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DEN,Denver International Airport,Denver,CO,10/2/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Part of Firearms or Ammunition,DSM,Des Moines International Airport,Des Moines,IA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",DTW,Detroit Metro Airport,Detroit,MI,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DTW,Detroit Metro Airport,Detroit,MI,10/2/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,FAY,Fayetteville Regional/Grannis Field Airport,Fayetteville,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,FAY,Fayetteville Regional/Grannis Field Airport,Fayetteville,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,FAY,Fayetteville Regional/Grannis Field Airport,Fayetteville,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,RSW,Southwest Florida International Airport,Fort Myers,FL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,FAT,Fresno Air Terminal,Fresno,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,GSP,Greenville / Spartanburg Airport,Greenville,SC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,IAH,Bush Intercontinental Airport,Houston,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,JAX,Jacksonville International Airport,Jacksonville,FL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,JAX,Jacksonville International Airport,Jacksonville,FL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,JAX,Jacksonville International Airport,Jacksonville,FL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Fuel/Gasoline/Paint Thinner,JNU,Juneau International Airport,Juneau,AK,10/2/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Ammunition,KTN,Ketchikan International Airport,Ketchikan,AK,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,LAX,Los Angeles International Airport,Los Angeles,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
