item,airport_code,airport_name,city,state,date,incident_type,location
Firearms,BNA,Nashville International Airport,Nashville,TN,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BNA,Nashville International Airport,Nashville,TN,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,OKC,Will Rogers World Airport,Oklahoma City,OK,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,OMA,Eppley Airfield,Omaha,NE,12/15/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Stun Guns/Shocking Devices,ONT,Ontario International Airport,Ontario,CA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,MCO,Orlando International Airport,Orlando,FL,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PSP,Palm Springs International Airport,Palm Springs,CA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,PDX,Portland International Airport,Portland,OR,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,UIN,Quincy Regional Airport - Baldwin Field,Quincy,IL,12/15/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",SLC,Salt Lake City International Airport,Salt Lake City,UT,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SAT,San Antonio International Airport,San Antonio,TX,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,SAT,San Antonio International Airport,San Antonio,TX,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",SAN,San Diego International Airport,San Diego,CA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,SAN,San Diego International Airport,San Diego,CA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,SJU,Luis Munoz Marin International Airport,San Juan,PR,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,SHV,Shreveport Regional Airport,Shreveport,LA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,GEG,Spokane International Airport,Spokane,WA,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,TPA,Tampa International Airport,Tampa,FL,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,TPA,Tampa International Airport,Tampa,FL,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,TPA,Tampa International Airport,Tampa,FL,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,VPS,Fort Walton Beach Airport,Valparaiso,FL,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,IAD,Washington Dulles International Airport,Washington,DC,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ICT,Wichita Mid-Continent Airport,Wichita,KS,12/15/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ANC,Anchorage International Airport,Anchorage,AK,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,AGS,Augusta Regional Airport,Augusta,GA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,BIL,Billings Logan International Airport,Billings,MT,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BZN,Bozeman Gallatin Field Airport,Bozeman,MT,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",BWI,Baltimore / Washington International Airport,BWI Airport,MD,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,BWI,Baltimore / Washington International Airport,BWI Airport,MD,12/16/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",CLT,Charlotte/Douglas International Airport,Charlotte,NC,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,CLT,Charlotte/Douglas International Airport,Charlotte,NC,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",MDW,Chicago Midway Airport,Chicago,IL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ORD,Chicago O'hare International Airport,Chicago,IL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,ORD,Chicago O'hare International Airport,Chicago,IL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,MDW,Chicago Midway Airport,Chicago,IL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,MDW,Chicago Midway Airport,Chicago,IL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,CMH,Port Columbus International Airport,Columbus,OH,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,DFW,Dallas/Fort Worth International Airport,Dallas,TX,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,DAL,Dallas Love Field,Dallas,TX,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,DFW,Dallas/Fort Worth International Airport,Dallas,TX,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,DEN,Denver International Airport,Denver,CO,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,DTW,Detroit Metro Airport,Detroit,MI,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,IAH,Bush Intercontinental Airport,Houston,TX,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,IAH,Bush Intercontinental Airport,Houston,TX,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,IAH,Bush Intercontinental Airport,Houston,TX,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,IND,Indianapolis International Airport,Indianapolis,IN,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,JAN,Jackson-Evers International Airport,Jackson,MS,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,KTN,Ketchikan International Airport,Ketchikan,AK,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,LFT,Lafayette Regional Airport,Lafayette,LA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MFR,Medford Rogue Valley International Airport,Medford,OR,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",EWR,Newark Liberty International Airport,Newark,NJ,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,OAK,Oakland International Airport,Oakland,CA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,OAK,Oakland International Airport,Oakland,CA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ONT,Ontario International Airport,Ontario,CA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,MCO,Orlando International Airport,Orlando,FL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Fireworks,MCO,Orlando International Airport,Orlando,FL,12/16/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Bludgeoning,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/16/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,RDM,Roberts Field,Redmond,OR,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,SMF,Sacramento International Airport,Sacramento,CA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,SMF,Sacramento International Airport,Sacramento,CA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,STL,Lambert-St. Louis International Airport,Saint Louis,MO,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,STL,Lambert-St. Louis International Airport,Saint Louis,MO,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SFO,San Francisco International Airport,San Francisco,CA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Realistic Replicas of Firearms,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
BB/Paint/Flare/Spear/Pellet Guns,SYR,Syracuse Hancock International Airport,Syracuse,NY,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,TPA,Tampa International Airport,Tampa,FL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,VPS,Fort Walton Beach Airport,Valparaiso,FL,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,IAD,Washington Dulles International Airport,Washington,DC,12/16/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,ALB,Albany International Airport,Albany,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,ABQ,Albuquerque International Sunport,Albuquerque,NM,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,AMA,Amarillo International Airport,Amarillo,TX,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,ATL,Atlanta International Airport,Atlanta,GA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,BUF,Buffalo Niagara International Airport,Buffalo,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,BWI,Baltimore / Washington International Airport,BWI Airport,MD,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,BWI,Baltimore / Washington International Airport,BWI Airport,MD,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BWI,Baltimore / Washington International Airport,BWI Airport,MD,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,CHS,Charleston International Airport,Charleston,SC,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,ORD,Chicago O'hare International Airport,Chicago,IL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ORD,Chicago O'hare International Airport,Chicago,IL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ORD,Chicago O'hare International Airport,Chicago,IL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",CLE,Cleveland Hopkins International Airport,Cleveland,OH,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",DAL,Dallas Love Field,Dallas,TX,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,DEN,Denver International Airport,Denver,CO,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
BB/Paint/Flare/Spear/Pellet Guns,ELP,El Paso International Airport,El Paso,TX,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,GRK,Killeen-Fort Hood Regional Airport,Fort Hood / Killeen,TX,12/17/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,RSW,Southwest Florida International Airport,Fort Myers,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,IAH,Bush Intercontinental Airport,Houston,TX,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MCI,Kansas City International Airport,Kansas City,MO,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,LAS,Mccarran International Airport,Las Vegas,NV,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,LIT,Little Rock National Airport,Little Rock,AR,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,LAX,Los Angeles International Airport,Los Angeles,CA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,IWA,Williams Gateway Airport,Mesa,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MIA,Miami International Airport,Miami,FL,12/17/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,MSY,New Orleans International Airport,New Orleans,LA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",JFK,John F. Kennedy International Airport,New York,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",JFK,John F. Kennedy International Airport,New York,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,JFK,John F. Kennedy International Airport,New York,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,JFK,John F. Kennedy International Airport,New York,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,MCO,Orlando International Airport,Orlando,FL,12/17/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,MCO,Orlando International Airport,Orlando,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MCO,Orlando International Airport,Orlando,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,PNS,Pensacola Regional Airport,Pensacola,FL,12/17/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Ammunition,PNS,Pensacola Regional Airport,Pensacola,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,PNS,Pensacola Regional Airport,Pensacola,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,PHL,Philadelphia International Airport,Philadelphia,PA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PVD,T.F. Green Airport,Providence,RI,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,PGD,Charlotte County Airport,Punta Gorda,FL,12/17/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Martial Arts/Self Defense Items,RNO,Reno-Tahoe International Airport,Reno,NV,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,ROC,Greater Rochester International Airport,Rochester,NY,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Fireworks,GSN,Saipan International Airport,Saipan Island,CQ,12/17/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Martial Arts/Self Defense Items,SLC,Salt Lake City International Airport,Salt Lake City,UT,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SLC,Salt Lake City International Airport,Salt Lake City,UT,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SLC,Salt Lake City International Airport,Salt Lake City,UT,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,SAT,San Antonio International Airport,San Antonio,TX,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",SAN,San Diego International Airport,San Diego,CA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SEA,Seattle/Tacoma International Airport,Seattle,WA,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,BTV,Burlington International Airport,South Burlington,VT,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,TPA,Tampa International Airport,Tampa,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,TPA,Tampa International Airport,Tampa,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,TPA,Tampa International Airport,Tampa,FL,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,TUL,Tulsa International Airport,Tulsa,OK,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ICT,Wichita Mid-Continent Airport,Wichita,KS,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,BDL,Bradley International Airport,Windsor Locks,CT,12/17/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,ABQ,Albuquerque International Sunport,Albuquerque,NM,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ANC,Anchorage International Airport,Anchorage,AK,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ANC,Anchorage International Airport,Anchorage,AK,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,AGS,Augusta Regional Airport,Augusta,GA,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,AUS,Austin-Bergstrom International Airport,Austin,TX,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BHM,Birmingham International Airport,Birmingham,AL,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BOI,Boise Airport,Boise,ID,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BOS,Boston Logan International Airport,Boston,MA,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BZN,Bozeman Gallatin Field Airport,Bozeman,MT,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,BUR,Burbank Bob Hope Airport,Burbank,CA,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
BB/Paint/Flare/Spear/Pellet Guns,CLT,Charlotte/Douglas International Airport,Charlotte,NC,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,COS,Colorado Springs Airport,Colorado Springs,CO,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,CAE,Columbia Metropolitan Airport,Columbia,SC,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",DEN,Denver International Airport,Denver,CO,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DEN,Denver International Airport,Denver,CO,12/18/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Mace/Pepper Spray,DEN,Denver International Airport,Denver,CO,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,DEN,Denver International Airport,Denver,CO,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,DEN,Denver International Airport,Denver,CO,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,FAI,Fairbanks International Airport,Fairbanks,AK,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,XNA,Northwest Arkansas Regional Airport,Fayetteville / Springdale,AR,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,GRK,Killeen-Fort Hood Regional Airport,Fort Hood / Killeen,TX,12/18/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,GSP,Greenville / Spartanburg Airport,Greenville,SC,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,HOU,Hobby Airport,Houston,TX,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,JAN,Jackson-Evers International Airport,Jackson,MS,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",JAX,Jacksonville International Airport,Jacksonville,FL,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,JAX,Jacksonville International Airport,Jacksonville,FL,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,LAS,Mccarran International Airport,Las Vegas,NV,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",LAS,Mccarran International Airport,Las Vegas,NV,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,LBB,Lubbock International Airport,Lubbock,TX,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,MFE,Mcallen-Miller International Airport,Mcallen,TX,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MEM,Memphis Airport,Memphis,TN,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,MIA,Miami International Airport,Miami,FL,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN,12/18/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
